rank,title,author,publisher
1,그들은 왜 아파트를 팔았나?, 박종복,WomanSenseBooks
2,댄 애리얼리 부의 감각, 댄 애리얼리,청림출판
3,90년생이 온다, 임홍택,웨일북(whalebooks)
4,아마존 미래전략 2022, 다나카 미치아키,반니
5,부자 아빠 가난한 아빠 20주년 특별 기념판, 로버트 기요사키,민음인
6,명견만리, KBS 〈명견만리〉 제작진,인플루엔셜
7,트렌드 코리아 2019, 김난도,미래의창
8,초격차, 권오현,쌤앤파커스
9,순간의 힘, 칩 히스,웅진지식하우스
10,앞으로 5년 한국의 미래 시나리오, 최윤식,지식노마드
11,리밸런싱, 박홍기,좋은땅
12,지성의 돈되는 부동산 1인법인, 지성,잇콘
13,돈 공부는 처음이라, 김종봉,다산북스
14,월급쟁이 부자들, 이명로,스마트북스
15,부의 추월차선, 엠제이 드마코,토트
16,짐 로저스의 스트리트 스마트, 짐 로저스,이레미디어
17,경매 권리분석 이렇게 쉬웠어?, 박희철,지혜로
18,직장이 없는 시대가 온다, 새라 케슬러,더퀘스트
19,부동산 상식사전, 백영록,길벗
20,워런 버핏 라이브, 대니얼 피컷,에프엔미디어
21,나는 오늘도 경제적 자유를 꿈꾼다, 청울림,알에이치코리아
22,다시 쓰는 주식 투자 교과서, 서준식,에프엔미디어
23,포노 사피엔스, 최재붕,쌤앤파커스
24,나는 감이 아니라 데이터로 말한다, 신현호,한겨레출판사
25,대한민국 청약지도, 정지영,다산북스
